"name","summary","image_path","category","ingredients","instructions"
"Баклажаны Пармиджано","Баклажаны Пармиджано - невероятно вкусное и очень сытное блюдо, настоящее лакомство для любителей баклажанов и сыра.","32.jpg","Итальянская кухня","Баклажаны - 3 шт.
Помидоры - 2-3 шт.
Лук репчатый - 1 шт.
Сыр моцарелла - 250 г
Сыр пармезан - 20 г
Грибы шампиньоны (при наличии) - 5-6 шт.
Масло растительное - 3-5 ст. ложек
Сухари панировочные - 3-4 ст. ложки
Мука пшеничная - 3-4 ст. ложки
Чеснок - 1-2 зубка
Орегано сушеный - 1 щепотка
Соль - по вкусу
Сахар - по вкусу
Перец черный молотый - по вкусу","1)Подготовьте все необходимые продукты для баклажанов Пармиджано (запеченных баклажанов с сыром и томатным соусом).
Овощи нужно помыть, обсушить.
2)Баклажаны нарежьте кружочками, толщиной 0,5 см, посолите, дайте горечи стечь вместе с солью.
3)Обваляйте баклажаны в муке, обжарьте на растительном масле до готовности, выложите на бумажное полотенце, чтобы ушло лишнее масло.
Обжарьте нарезанный лук на растительном масле до прозрачности.
4)Помидоры очистите от кожицы, измельчите, добавьте в сковороду. Готовьте соус минут 5. Следом добавьте нарубленный чеснок и щепотку орегано. Посолите томатный соус по вкусу и поперчите. Если помидоры кисловаты, добавьте немного сахара по вкусу. Через минуту-другую выключите огонь и дайте соусу чуть остыть.
5)На дно формы для запекания выложите половину томатного соуса.
6)На соус выложите слой обжаренных баклажанов.
7)Блюдо щедро посыпьте натертой моцареллой.Последним слоем выложите оставшийся томатный соус по центру так, чтобы по бокам были немного видны баклажаны и сыр.Разогрейте духовку до 180 градусов и запекайте баклажаны с сыром и томатным соусом в режиме верхнего и нижнего нагрева 20 минут.
8)На мелкой терке натрите сыр пармезан, смешайте его с сухарями. Посыпьте запеканку из баклажанов пармезаном с сухарями и готовьте в духовке еще 10 минут.
Баклажаны Пармиджано подают горячими, пока сыр не остыл. Идеально к запеканке из баклажанов с сыром подходит кусок свежайшей чиабатты или фокаччи и бокал хорошего вина.
Приятного!"

"Паста Примавера с курицей","По этому быстрому рецепту за несколько минут готовится разноцветное аппетитное блюдо.","33.jpg","Итальянская кухня","Макароны короткие (спиральки) – по объему примерно 2 стакана
Куриное филе – 500 г
Чеснок – 2 зубчика
Масло сливочное – 2 ст. ложки
Овощная смесь замороженная (с брокколи и цветной капустой) – 500 г
Сливки жирные – 150 мл
Сыр твёрдый (пармезан), натертый на терке - 3/4 стакана
Соль – 1 ч. ложка
Перец молотый – 1/4 ч. ложки","1)Макароны отварите до готовности по инструкции на упаковке.
2)Куриное филе нарежьте кубиками.
3)На разогретой сковороде с растопленным сливочным маслом слегка обжарьте курицу с чесноком, выдавленным через пресс.
4)Добавьте замороженные овощи и сливки в сковороду. Готовьте до тех пор, пока овощи не станут мягкими.
5)Добавьте в сковороду макароны, тертый сыр, соль и перец. Перемешайте и прогрейте все продукты."

"Паста Карбонара","Легендарная паста карбонара. Не слушайте никого, в настоящей карбонаре не бывает сливок.","34.jpeg","Итальянская кухня","Спагетти - 400 г
Грудинка варено-копчёная - 200 г
Яйцо куриное - 1 шт.
Желтки - 3 шт.
Сыр пармезан - 75 г
Масло сливочное - 2 ст.ложки
Масло оливковое - 1 ст.ложка
Чеснок - 2 зубчика
Соль - по вкусу
Перец черный - по вкусу","1)Разогреть сковороду, растопить 1 ст. ложку сливочного масла и отправить туда грудинку.
Добавить 2 зубчика чеснока, предварительно раздавленных ножом. Грудинку обжаривать на маленьком огне 10 минут, из неё должен вытопиться жир, но она должна остаться мягкой. После обжаривания чеснок убрать.
2)В кипящую воду добавляем 1 ст. ложку соли, 1 ст. ложку оливкового масла и спагетти. Варим так, как указано на упаковке спагетти, - важно соблюдать указанное время варки, чтобы сварить спагетти правильно.
3)У трёх яиц отделить белки от желтков. Отправить в миску 3 желтка и одно яйцо с белком, посолить и поперчить (по 1 щепотке), хорошо взбить и добавить 2 ст. ложки натертого сыра. Перемешать.
4)Готовые спагетти откинуть на дуршлаг, предварительно оставив 1,5 стакана воды, в которой они варились.
5)Выключить огонь под сковородой с грудинкой, отправить туда спагетти, добавить 1 ст. ложку сливочного масла и вылить взбитые яйца с сыром.
6)Все тщательно перемешать, постепенно добавить 1 стакан воды от спагетти и 2 ст. ложки сыра, постоянно перемешивая, чтобы яйца не свернулись.
Распределить спагетти по тарелкам, сверху добавить грудинку, посыпать черным молотым перцем и тертым сыром. Паста карбонара готова."

"Паста альфредо в сливочно-сырном соусе","Предлагаем немного разнообразить данное блюдо и добавить ветчину и зеленый горошек.","35.jpg","Итальянская кухня","Макароны (паста) типа длинной лапши (тальятелле и т.п.) — 70 г
Ветчина — 80 г
Сыр твёрдый (пармезан) — 30 г
Горошек зеленый (замороженный) — 30 г
Сливки 20 % — 70 мл
Масло сливочное — 20 г
Мускатный орех молотый — по вкусу
Соль — по вкусу
Перец черный молотый — по вкусу","1)Подготовьте необходимые ингредиенты. Пасту выбирайте на свое усмотрение: фетучини, тальятелле, баветте, лингвини. Подойдет любая плоская паста типа лапши. Пармезан не рекомендую заменять другим сыром, так как он дает густоту соусу и вкус готовому блюду.
2)Вскипятите в кастрюле воду. Подсолите и доведите до кипения. В кипящую воду опустите пасту. Перемешайте. Доведите до кипения. Варите до готовности, согласно инструкции на упаковке, на 1 минуту уменьшив приготовление. Я готовила 9 минут из 10 указанных на упаковке. В процессе кипения, периодически перемешивайте, чтобы паста не прилипла ко дну.
3)Пасту откиньте на дуршлаг, чтобы стекла лишняя жидкость. Немного отвара оставьте для соуса, если понадобится.
4)Горошек у меня прямо из морозилки. Я залила его кипятком на 10 минут. Если горошек очень молодой, можно заранее достать из морозилки и разморозить. Если горошек после разморозки плотный, протушите его в несоленой воде до мягкости и откиньте на сито.
5)Ветчину нарежьте небольшими пластинками.В глубокой сковороде растопите сливочное масло. Добавьте зеленый горошек и ветчину. Готовьте на небольшом огне 1-2 минуты, помешивая.Влейте сливки.
6)Прогрейте пару минут на небольшом огне, до загустения соуса. Если соус очень густой, можно разбавить отваром от пасты до желаемой густоты.Приправьте соус по вкусу солью и молотым черным перцем, перемешайте.
Выложите на тарелку. Посыпьте оставшимся тертым пармезаном и сразу подавайте к столу.
Приятного аппетита!"





















